Date_GMT,Time_GMT,depth,X,Y,Xcorr,Ycorr,Lat1Hz,Lon1Hz,pitch,roll,heading_geo,heading_mag,speed,divenumber,divenumber_inc_inaccuratedepth,light2,pred_divetype,wet-dry,datetimenumeric,strokingrate,detectedfeeding
11/17/13,14:36:43,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3736342981126364,2.7836315617453167,5.952289371859288,5.927854762331367,3.4218966484046973,\N,\N,65535,\N,161,1384699003,0,\N
11/17/13,14:36:44,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3699167852891456,-2.9820995651623976,0.15243091039153578,0.12799630086361516,3.4221060761118007,\N,\N,65535,\N,85,1384699004,0,\N
11/17/13,14:36:45,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.396776704431232,-2.681784797398336,0.4534184965107359,0.4289838869828153,3.422322733378374,\N,\N,65535,\N,180,1384699005,0,\N
11/17/13,14:36:46,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4225214784785405,-2.8398489449385775,0.3272749979060841,0.3028403883781635,3.4221699030304094,\N,\N,65535,\N,204,1384699006,0,\N
11/17/13,14:36:47,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4433159161923022,2.5324144317145194,5.743704442122182,5.719269832594261,3.421594354748147,\N,\N,65535,\N,209,1384699007,0,\N
11/17/13,14:36:48,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3634899944086076,-2.9085138935885717,0.2651754435132713,0.24074083398535073,3.42084468291746,\N,\N,65535,\N,135,1384699008,0,\N
11/17/13,14:36:49,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3566856817761415,-3.078886129082292,0.11290833454652552,0.08847372501860491,3.4197851355368045,\N,\N,65535,\N,83,1384699009,0,\N
11/17/13,14:36:50,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.386533299665947,2.7140495870537826,5.949110291511429,5.9246756819835085,3.4186226543973186,\N,\N,65535,\N,181,1384699010,0,\N
11/17/13,14:36:51,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4207015211940233,2.9162822749980393,6.105114022865549,6.080679413337628,3.4177583326230376,\N,\N,65535,\N,199,1384699011,0,\N
11/17/13,14:36:52,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3796779402018673,2.6923126716876173,5.924706788875089,5.900272179347168,3.4170501731548137,\N,\N,65535,\N,83,1384699012,0,\N
11/17/13,14:36:53,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3966979093347296,-3.0425209326347664,0.14181641077363719,0.11738180124571658,3.4160568817515715,\N,\N,65535,\N,83,1384699013,0,\N
11/17/13,14:36:54,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.420924039583822,3.1245966251191577,0.04410834621087385,0.019673736682953236,3.4150985237597533,\N,\N,65535,\N,183,1384699014,0,\N
11/17/13,14:36:55,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.448418735680805,2.800184844768014,6.056854843303638,6.032420233775717,3.414449865456018,\N,\N,65535,\N,83,1384699015,0,\N
11/17/13,14:36:56,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.433561006788127,3.120329646042846,0.07439371785165433,0.04995910832373372,3.4143500553160058,\N,\N,65535,\N,194,1384699016,0,\N
11/17/13,14:36:57,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.4167737187641636,2.690716315498007,5.976769740409665,5.952335130881744,3.413430520922086,\N,\N,65535,\N,209,1384699017,0,\N
11/17/13,14:36:58,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.3769823152124498,2.861438419871242,6.14914622890284,6.124711619374919,3.403544973626641,\N,\N,65535,\N,138,1384699018,0,\N
11/17/13,14:36:59,0,\N,\N,\N,\N,-42.90398970478208,-56.27144403555452,1.5297545321614467,1.2981000665121285,4.5457124546271395,4.521277845099219,3.392586038403317,\N,\N,65535,\N,171,1384699019,0,\N
